"ESTADO","INGRESOS","CASA","PRECIO_DISPOSITIVO","MESES","DURACION","SOBRECARGO","SALDO_RESTANTE","SATISFACCION"
"VINCULADO",4074840,8.83e+08,1444153,26,2.3,11.167542027325,20.3,1.76287191066889
"VINCULADO",8574088,1.745e+09,2157661,23,3.7,0,53.5,3.36126643204848
"RETIRADO",795993,9.5e+07,452809,38,16.8,350.610223779285,13.9,8.35943762416537
"RETIRADO",8115015,8.3e+07,2617184,37,17.6,230.913887754071,45.7,8.96401689741808
"RETIRADO",8187499,6.77e+08,666069,19,0,131.541983078168,67.2,8.80820642286372
"VINCULADO",7250225,4.24e+08,548116,19,2.2,0,72,1.97954927323613
"RETIRADO",7256758,7.12e+08,3493707,20,14.8,217.322554255921,69.5,8.28513694402685
"RETIRADO",3262245,6.84e+08,985708,32,1.3,275.595131321107,19,8.04062943755997
"VINCULADO",7281977,1.77e+09,2453442,41,3,0,64.6,2.65433231669122
"RETIRADO",874177,7.25e+08,1403586,19,17.8,0,19.9,2.13886141497627
"RETIRADO",4061667,9.34e+08,438256,9,1.8,0,4.9,2.16489004214449
"RETIRADO",3529836,7.24e+08,647659,18,4.3,303.16209458589,29.6,7.98447531434257
"RETIRADO",3829846,8.77e+08,1150132,40,5.4,150.868407937314,33.2,7.85574358886517
"RETIRADO",7639749,3.17e+08,825889,27,0.7,178.247185773731,89.5,7.82698384926807
"VINCULADO",1063556,7.14e+08,1991877,12,15.7,0,0,2.65477658200939
"RETIRADO",661848,1.45e+08,1241824,0,14.7,311.590203382467,23.7,8.22109224624718
"RETIRADO",1494939,5.74e+08,665683,26,16,132.838471012283,18,8.64605996698096
"RETIRADO",6461843,2.4e+08,323295,17,16.3,202.166586715459,78.8,8.21594082412621
"RETIRADO",901956,9.33e+08,1280582,32,16,223.750971685163,20.3,7.61730498023871
"VINCULADO",7237045,1.674e+09,2288612,24,15.8,28.7735900743315,76.9,2.96468979001247
"VINCULADO",8346763,4.5e+08,705708,30,16.3,0,61.7,2.84140739190234
"RETIRADO",7597008,4e+08,2392791,49,15.8,130.654947068545,47.6,7.92029006333594
"RETIRADO",3294147,6.65e+08,795158,45,2.7,263.796777452694,16.2,7.52049446803486
"RETIRADO",660089,2.6e+08,1827659,7,17.1,120.049717070481,4.2,8.01985942050588
"VINCULADO",2362928,5.98e+08,779090,54,2.8,0,25.8,3.44003162572618
"RETIRADO",7757860,5.03e+08,2001734,47,15.9,212.29536401695,55.7,8.3085624251078
"VINCULADO",6001474,1.177e+09,1150558,50,2.1,0,77.3,2.93594853026142
"RETIRADO",3503361,8.01e+08,1048801,25,1.1,88.9721471153895,25.5,8.45861524647596
"VINCULADO",6537675,6.68e+08,2492057,38,16.5,11.4577737364656,54.3,2.86759772221972
"RETIRADO",1409067,1.105e+09,644429,55,16.6,188.592668278726,5.8,9.02794772073184
"VINCULADO",7523345,1.727e+09,2291403,42,16,0,54.9,3.08353917801665
"VINCULADO",7320612,1.548e+09,284060,38,18.2,31.6062834180997,92.6,2.77980957901541
"RETIRADO",7836527,4.88e+08,3098366,37,1.1,248.958835671984,71.3,8.18025627863609
"VINCULADO",1574004,6.23e+08,2404374,23,17.5,9.93549375972408,23.4,2.63338326286314
"VINCULADO",3954326,9.47e+08,1375598,51,2.3,63.4228837789566,25.9,3.66155706345534
"VINCULADO",7510188,5.76e+08,818990,11,16.4,0,87.4,2.53815264177913
"RETIRADO",6850367,6.23e+08,1542276,29,16.7,121.874704110528,47.6,8.13960194461944
"RETIRADO",7178324,9.68e+08,414357,14,15.9,252.386521853283,82.1,7.99314392589225
"VINCULADO",1523990,2.33e+08,1426341,19,15.6,13.7638000635107,13,2.64802595109563
"RETIRADO",992085,3.13e+08,1479609,20,15.7,178.074268802876,5.2,8.86313325935955
"VINCULADO",7659689,7.3e+08,392474,0,3.7,0,61.6,2.41936519892859
"RETIRADO",3876596,9.73e+08,901927,7,3.3,215.608585413933,0,8.64241870995061
"RETIRADO",7832980,1.799e+09,353363,14,16,251.82878733631,72.9,8.70090725777849
"RETIRADO",7047010,1.03e+08,383579,22,14.7,236.707272797162,75.1,8.65940311550178
"RETIRADO",8763522,7.94e+08,902864,15,15,21.2778777465473,56.6,3.33057376660747
"RETIRADO",4036032,5.08e+08,2750512,27,2.5,224.352073042939,25.6,9.11703721172186
"RETIRADO",796967,8.3e+07,311671,18,15.2,164.501227321189,15.1,8.57912678176102
"RETIRADO",7835561,1.698e+09,2092882,48,16.6,230.909984433985,83.9,7.87339563249462
"VINCULADO",437843,8.26e+08,1952485,26,17,0,20.2,2.59332100984117
"VINCULADO",7052549,4.89e+08,409953,17,3.7,11.1963634851197,55.4,2.52868254628309
"RETIRADO",951739,2.12e+08,379677,27,15.4,194.873184649132,11.1,7.52226624639283
"VINCULADO",4028362,6.96e+08,2206525,19,0.7,12.2260789878042,0,2.32152276038412
"VINCULADO",3644111,5.25e+08,1869360,16,2.1,37.0843001552834,35.2,2.13435194405907
"RETIRADO",7519976,4.27e+08,1386760,10,15.8,201.522956342579,96,8.71333200527631
"VINCULADO",7390665,8.31e+08,1156367,0,15.9,36.6011814902218,71.5,2.32241100764335
"VINCULADO",7976212,1.27e+08,518050,39,15.2,65.1168121376227,70.8,2.90184566099062
"VINCULADO",4016180,1.003e+09,1882390,55,4.4,0,22.6,2.51037103284894
"RETIRADO",1680459,3.51e+08,824000,10,15.7,191.247820486001,16.9,8.30956521600454
"VINCULADO",150000,8.4e+07,1055653,23,15.7,0,0,2.01836739610359
"RETIRADO",1461310,3.27e+08,1963727,32,16.2,189.713153390956,14.7,7.91330873330583
"VINCULADO",7176247,2.83e+08,1552211,43,14.4,0,75,2.91037240860867
"RETIRADO",1652544,6.3e+08,2512590,24,16.5,187.323821720333,25.5,8.00505605893633
"RETIRADO",690476,1.047e+09,1117840,0,16.1,236.93103888348,9.1,7.88408226355794
"VINCULADO",3406580,6.91e+08,417804,0,2.5,18.1073257370578,10.1,1.86386981753558
"RETIRADO",1784121,5.11e+08,431534,0,17.6,211.895242906088,5,8.38046393764315
"VINCULADO",403041,2.41e+08,1672362,31,15.4,0,12.4,2.49862034657953
"RETIRADO",4642149,2.15e+08,982323,35,1.8,181.103943106583,15.7,7.91947855063914
"VINCULADO",7967191,9.04e+08,883531,19,16.4,27.6585681991215,85.9,2.87540300633534
"RETIRADO",3878969,8.17e+08,2434232,12,1.7,233.559067248655,13.2,8.57806118124602
"RETIRADO",7320406,9.42e+08,1974112,14,1.9,126.688239719911,57.8,8.24367343714674
"RETIRADO",7025956,2.36e+08,1025119,25,15.6,274.693419495412,61.2,8.18707588991164
"RETIRADO",150000,5.54e+08,1197581,0,15.4,170.211268372963,5.4,8.71022952554179
"RETIRADO",678834,6.93e+08,1090625,35,17,175.226827619444,11.4,8.56617422356699
